Frame,CoMx,CoMy,CoMz
130,2.042509,0.736731,0.880077
131,2.04235,0.737885,0.883228
132,2.042613,0.746417,0.886667
133,2.043251,0.751608,0.890364
134,2.044002,0.757696,0.894286
135,2.044758,0.76168,0.898277
136,2.04544,0.765846,0.902288
137,2.046146,0.769255,0.906241
138,2.0468,0.772625,0.910103
139,2.047425,0.773948,0.913827
140,2.04787,0.776251,0.917449
141,2.048235,0.779579,0.921404
142,2.048608,0.784246,0.925427
143,2.049045,0.790037,0.929498
144,2.049512,0.79668,0.933647
145,2.049988,0.803967,0.936952
146,2.050484,0.811681,0.941136
147,2.051002,0.819772,0.945352
148,2.051507,0.828165,0.948097
149,2.051997,0.836733,0.952193
150,2.052492,0.845443,0.956292
151,2.052969,0.85437,0.960489
152,2.053445,0.863277,0.964624
153,2.053925,0.872238,0.968732
154,2.054438,0.881249,0.972806
155,2.054982,0.890293,0.976861
156,2.055554,0.899374,0.980903
157,2.056142,0.908503,0.984916
158,2.056761,0.917654,0.988864
159,2.05742,0.926816,0.992734
160,2.058104,0.935991,0.99653
161,2.058796,0.945172,1.000267
162,2.059481,0.954357,1.003945
163,2.060187,0.963546,1.007538
164,2.060911,0.972748,1.011031
165,2.061645,0.981976,1.014416
166,2.062381,0.991243,1.017684
167,2.063106,1.000524,1.020844
168,2.063831,1.009832,1.023906
169,2.064567,1.019198,1.02687
170,2.065293,1.028619,1.029736
171,2.066014,1.038064,1.032513
172,2.066741,1.047525,1.035198
173,2.067456,1.057006,1.037795
174,2.068145,1.066517,1.040266
175,2.068771,1.076189,1.04265
176,2.069404,1.085739,1.044792
177,2.070039,1.095296,1.04677
178,2.070679,1.104873,1.048604
179,2.071322,1.114464,1.050295
180,2.071942,1.124069,1.051839
181,2.072541,1.133673,1.053241
182,2.073134,1.143259,1.054508
183,2.07373,1.152824,1.055644
184,2.074323,1.162363,1.056664
185,2.074903,1.171859,1.057567
186,2.075457,1.18131,1.058345
187,2.075987,1.190722,1.058997
188,2.076495,1.200106,1.059515
189,2.076984,1.20947,1.059888
190,2.077481,1.218808,1.060109
191,2.077976,1.228116,1.060175
192,2.078444,1.237379,1.060077
193,2.078906,1.2466,1.059822
194,2.079381,1.25579,1.059405
195,2.079899,1.264961,1.058841
196,2.080432,1.274116,1.058139
197,2.080974,1.283265,1.057304
198,2.081532,1.29243,1.05632
199,2.082054,1.301765,1.055271
200,2.082571,1.310975,1.054042
201,2.083056,1.320195,1.052711
202,2.083508,1.329427,1.051306
203,2.083905,1.338676,1.049829
204,2.084248,1.347925,1.048275
205,2.084571,1.357188,1.046645
206,2.084889,1.366441,1.04495
207,2.08518,1.375669,1.043185
208,2.08548,1.384878,1.04134
209,2.085807,1.394062,1.039416
210,2.086133,1.403201,1.037442
211,2.086462,1.412275,1.035394
212,2.086793,1.42129,1.033228
213,2.087142,1.430262,1.030946
214,2.087511,1.439165,1.02859
215,2.087874,1.447975,1.026181
216,2.088302,1.456729,1.023719
217,2.088783,1.465457,1.021196
218,2.0893,1.474153,1.018623
219,2.089851,1.482487,1.015992
220,2.090449,1.491063,1.013294
221,2.091103,1.499607,1.010534
222,2.091787,1.508146,1.007714
223,2.092451,1.51683,1.004912
224,2.093159,1.52542,1.001954
225,2.093836,1.533986,0.998871
226,2.094484,1.542511,0.995651
227,2.095137,1.551023,0.992304
228,2.095803,1.559536,0.988813
229,2.09647,1.568071,0.985177
230,2.097134,1.576645,0.981442
231,2.097794,1.585237,0.97766
232,2.098434,1.593813,0.973831
233,2.099085,1.602403,0.969926
234,2.099756,1.610989,0.965916
235,2.100388,1.619503,0.961825
236,2.101014,1.627936,0.95768
237,2.101666,1.636322,0.953495
238,2.102344,1.644701,0.949283
239,2.103025,1.653045,0.945019
240,2.103712,1.661343,0.940696
241,2.104386,1.669572,0.936279
242,2.105078,1.677801,0.931776
243,2.105765,1.686011,0.927201
244,2.106449,1.694228,0.922591
245,2.107101,1.702404,0.917897
246,2.107764,1.71056,0.913112
247,2.108445,1.71883,0.90829
248,2.109205,1.727008,0.903296
249,2.110004,1.735176,0.898206
250,2.110845,1.743311,0.893015
251,2.111748,1.751453,0.88774
252,2.112678,1.759581,0.882382
253,2.113649,1.76764,0.876942
254,2.114672,1.775621,0.871397
255,2.115733,1.783576,0.865781
256,2.11677,1.791497,0.86013
257,2.117808,1.799322,0.854428
258,2.118862,1.807032,0.848687
259,2.11991,1.814525,0.842919
260,2.120935,1.821842,0.837134
261,2.12175,1.827639,0.831333
262,2.122772,1.834854,0.825488
263,2.123801,1.841975,0.81965
264,2.124825,1.849014,0.813838
265,2.125805,1.855988,0.822241
266,2.126765,1.862912,0.821744
267,2.127726,1.869793,0.819726
268,2.128734,1.876586,0.817081
269,2.129756,1.883241,0.814158
270,2.130805,1.889732,0.811104
271,2.131886,1.896227,0.806674
272,2.132984,1.902436,0.803534
273,2.134118,1.908425,0.800178
274,2.135311,1.914223,0.7956
275,2.136573,1.919849,0.791072
276,2.13723,1.919864,0.786615
277,2.138488,1.924662,0.782059
278,2.13987,1.929682,0.777358
279,2.141274,1.934642,0.773843
280,2.142729,1.939546,0.772236
281,2.144234,1.944366,0.770081
282,2.145794,1.94909,0.76767
283,2.147379,1.953731,0.765137
284,2.148982,1.958284,0.762568
285,2.150555,1.962731,0.760001
286,2.152079,1.967036,0.757457
287,2.153593,1.971179,0.754984
288,2.155118,1.975169,0.752652
289,2.156619,1.979024,0.750461
290,2.158092,1.982763,0.748367
291,2.159563,1.98637,0.746386
292,2.16106,1.989791,0.744555
293,2.162591,1.992996,0.742837
294,2.164138,1.995966,0.741436
295,2.165679,1.99874,0.739716
296,2.167191,2.001183,0.738232
297,2.168678,2.003469,0.736641
298,2.170177,2.005609,0.733627
299,2.171718,2.007639,0.732565
300,2.173274,2.009541,0.731681
301,2.174849,2.011314,0.73097
302,2.176423,2.01298,0.730325
303,2.177715,2.014376,0.727939
304,2.179325,2.015636,0.72786
305,2.180956,2.01653,0.725826
306,2.182534,2.017084,0.723951
307,2.184063,2.01735,0.722145
308,2.185481,2.01722,0.720329
309,2.1868,2.016657,0.718526
310,2.188023,2.015801,0.716849
311,2.189105,2.014724,0.715382
312,2.190057,2.013487,0.714093
313,2.190836,2.012197,0.712983
314,2.191473,2.01082,0.712038
315,2.192114,2.009193,0.711216
316,2.192821,2.007159,0.710497
317,2.193584,2.004837,0.709764
318,2.194427,2.002272,0.708953
319,2.1954,1.99939,0.708004
320,2.196519,1.996092,0.724075
321,2.197748,1.992477,0.732637
322,2.199015,1.988605,0.738396
323,2.200186,1.984481,0.742741
324,2.201212,1.980099,0.746333
325,2.202148,1.975491,0.749503
326,2.203016,1.970731,0.75224
327,2.203822,1.965775,0.75457
328,2.204649,1.960622,0.756688
329,2.205488,1.955256,0.758815
330,2.206301,1.949723,0.761035
331,2.207016,1.943994,0.763368
332,2.205046,1.9448,0.765728
333,2.206063,1.941636,0.76823
334,2.206777,1.938081,0.770947
335,2.207612,1.931922,0.773896
336,2.207891,1.925347,0.777102
337,2.207555,1.919759,0.780532
338,2.206529,1.917424,0.78403
339,2.205667,1.912126,0.787544
340,2.204777,1.904072,0.790897
341,2.20387,1.895386,0.794046
342,2.202228,1.891036,0.797249
343,2.201627,1.88266,0.800641
344,2.201298,1.873744,0.804103
345,2.201018,1.864614,0.808141
346,2.200635,1.855144,0.811916
347,2.199943,1.849406,0.815811
348,2.199542,1.83971,0.820265
349,2.198922,1.82961,0.824977
350,2.1981,1.81911,0.829207
351,2.197143,1.808231,0.834271
352,2.196133,1.797068,0.83968
353,2.195021,1.785601,0.84533
354,2.193844,1.773763,0.849586
355,2.192648,1.761677,0.855481
356,2.191326,1.74948,0.861604
357,2.18988,1.737122,0.865759
358,2.188398,1.724432,0.870009
359,2.189314,1.724399,0.87448
360,2.188711,1.712384,0.880692
361,2.187767,1.700015,0.885184
362,2.18807,1.699395,0.889881
363,2.187143,1.688456,0.896451
364,2.186042,1.676939,0.903327
365,2.184804,1.66497,0.910355
366,2.183503,1.652638,0.914602
367,2.183853,1.650554,0.919041
368,2.183156,1.640167,0.925706
369,2.18241,1.629194,0.932502
370,2.181604,1.617734,0.939412
371,2.180753,1.605861,0.942389
372,2.182067,1.602824,0.945559
373,2.181945,1.592609,0.951817
374,2.181702,1.581821,0.958229
375,2.18135,1.570597,0.964718
376,2.180882,1.559041,0.971205
377,2.180386,1.547238,0.977666
378,2.179915,1.535241,0.984069
379,2.179458,1.523109,0.990357
380,2.178991,1.510894,0.996499
381,2.178519,1.498629,1.002491
382,2.178034,1.48633,1.008362
383,2.177536,1.473976,1.014135
384,2.177041,1.461572,1.019809
385,2.176531,1.449114,1.025389
386,2.176012,1.436607,1.030889
387,2.175476,1.424045,1.036274
388,2.174948,1.41147,1.041534
389,2.174446,1.398914,1.04666
390,2.173992,1.386389,1.051615
391,2.173546,1.373899,1.056475
392,2.173144,1.361447,1.061094
393,2.172739,1.349039,1.065564
394,2.172318,1.336694,1.0699
395,2.171868,1.324384,1.07411
396,2.171385,1.312094,1.078183
397,2.170862,1.299813,1.082128
398,2.170311,1.287546,1.085931
399,2.169729,1.275288,1.089586
400,2.169134,1.263035,1.093082
401,2.168528,1.250774,1.096418
402,2.167911,1.238493,1.099596
403,2.167275,1.226191,1.102625
404,2.166624,1.213888,1.1055
405,2.165949,1.201596,1.10822
406,2.165259,1.189341,1.110772
407,2.164539,1.177105,1.113159
408,2.163777,1.164899,1.115389
409,2.162975,1.152714,1.117467
410,2.162128,1.140536,1.119395
411,2.161232,1.128363,1.121178
412,2.160292,1.116189,1.12282
413,2.159324,1.10403,1.124326
414,2.158328,1.091891,1.125695
415,2.157286,1.079807,1.127002
416,2.156256,1.067692,1.128097
417,2.155237,1.055572,1.129041
418,2.154227,1.043445,1.129841
419,2.153231,1.031323,1.130498
420,2.15224,1.019228,1.131019
421,2.151253,1.007158,1.131407
422,2.150261,0.995113,1.131671
423,2.14927,0.9831,1.131808
424,2.148297,0.97112,1.131807
425,2.147331,0.959158,1.131662
426,2.146353,0.947213,1.13138
427,2.145378,0.935284,1.130957
428,2.144405,0.923383,1.130381
429,2.14341,0.911513,1.129668
430,2.142431,0.899669,1.12879
431,2.141462,0.887846,1.127733
432,2.140486,0.876049,1.126518
433,2.139509,0.864281,1.125173
434,2.138523,0.852564,1.123714
435,2.137557,0.840876,1.12212
436,2.136613,0.829217,1.120409
437,2.135682,0.817596,1.118607
438,2.134754,0.806025,1.116727
439,2.133832,0.794594,1.114839
440,2.132925,0.783052,1.112791
441,2.13201,0.771545,1.110645
442,2.131069,0.760048,1.108434
443,2.130138,0.748515,1.106123
444,2.129185,0.737006,1.103702
445,2.128224,0.725481,1.101166
446,2.127236,0.713921,1.098517
447,2.126248,0.702333,1.095758
448,2.125266,0.690751,1.092899
449,2.124277,0.679187,1.089952
450,2.123326,0.667635,1.086883
451,2.122413,0.656127,1.083695
452,2.121546,0.644653,1.080403
453,2.120686,0.633223,1.077027
454,2.11986,0.621815,1.073579
455,2.11907,0.610421,1.070049
456,2.118284,0.599067,1.066443
457,2.117504,0.587724,1.062774
458,2.116744,0.576377,1.059053
459,2.115988,0.565057,1.055271
460,2.115222,0.553772,1.051418
461,2.114458,0.542506,1.047521
462,2.113727,0.531298,1.043586
463,2.113383,0.526304,1.039702
464,2.112761,0.516119,1.035771
465,2.112181,0.505463,1.031829
466,2.112152,0.501907,1.027956
467,2.111725,0.49173,1.024028
468,2.111442,0.48374,1.020346
469,2.111002,0.473902,1.016447
470,2.110583,0.464129,1.012541
471,2.110192,0.45435,1.008593
472,2.109867,0.444583,1.004609
473,2.10957,0.434823,0.896643
474,2.109336,0.425078,0.863322
475,2.109194,0.415413,0.853419
476,2.109117,0.405828,0.835298
477,2.109091,0.396341,0.822051
478,2.10912,0.387026,0.811065
479,2.109197,0.377909,0.801093
480,2.109344,0.369037,0.79141
481,2.109569,0.36038,0.782043
482,2.109854,0.35192,0.772894
483,2.110182,0.343617,0.769237
484,2.110512,0.335451,0.76481
485,2.11086,0.327383,0.756088
486,2.111288,0.319353,0.752108
487,2.111758,0.31157,0.74792
488,2.112245,0.303738,0.743564
489,2.112784,0.295982,0.739221
490,2.113431,0.28835,0.734983
491,2.114177,0.280919,0.729363
492,2.115009,0.273788,0.721613
493,2.115913,0.266957,0.714055
494,2.112488,0.267662,0.712939
495,2.111746,0.261349,0.71114
496,2.111819,0.254179,0.709546
497,2.112167,0.246812,0.703681
498,2.112672,0.239844,0.700493
499,2.111475,0.23745,0.699141
500,2.111672,0.232639,0.697114
501,2.111326,0.228907,0.694868
502,2.11035,0.226156,0.692297
503,2.109135,0.224184,0.689613
504,2.109192,0.22077,0.688141
505,2.10979,0.216778,0.686336
506,2.110746,0.212513,0.685391
507,2.111532,0.209114,0.684927
508,2.111651,0.206781,0.684597
509,2.110982,0.205189,0.684112
510,2.110934,0.202369,0.683738
511,2.109604,0.20034,0.683472
512,2.107203,0.199209,0.683138
513,2.106202,0.197547,0.682806
514,2.105498,0.196018,0.682637
515,2.105039,0.194503,0.682729
516,2.105423,0.192562,0.683534
517,2.106066,0.190643,0.684732
518,2.106466,0.189401,0.686227
519,2.107294,0.188389,0.688312
520,2.106117,0.187602,0.688671
521,2.105494,0.188065,0.687527
522,2.102938,0.187974,0.68873
523,2.100249,0.187594,0.687451
524,2.097259,0.186799,0.689375
525,2.094118,0.186026,0.688966
526,2.090674,0.185259,0.688976
527,2.087161,0.184771,0.69215
528,2.083719,0.185029,0.692624
529,2.079975,0.185909,0.695305
530,2.076062,0.18729,0.69764
531,2.072189,0.188925,0.699701
532,2.068188,0.190623,0.699639
533,2.063821,0.192064,0.70081
534,2.059403,0.193125,0.70205
535,2.055029,0.193642,0.703791
536,2.051171,0.193492,0.705768
537,2.047877,0.193003,0.706765
538,2.045166,0.192221,0.709442
539,2.042779,0.191238,0.712462
540,2.040603,0.190554,0.715684
541,2.038544,0.189691,0.718852
542,2.036923,0.189124,0.720635
543,2.03575,0.188723,0.722239
544,2.034532,0.188362,0.725303
545,2.03311,0.188229,0.728249
546,2.031627,0.18833,0.729761
547,2.030054,0.188275,0.730851
548,2.028663,0.187345,0.731965
549,2.027889,0.18547,0.734836
550,2.027781,0.182722,0.736945
551,2.028384,0.179018,0.739333
552,2.029164,0.175062,0.741917
553,2.030224,0.170779,0.744497
554,2.031505,0.166578,0.746955
555,2.032842,0.162752,0.749349
556,2.034092,0.15958,0.751733
557,2.03479,0.157263,0.754072
558,2.03508,0.155646,0.756237
559,2.035064,0.153257,0.758216
560,2.034975,0.150264,0.760789
561,2.03499,0.147168,0.763558
562,2.035319,0.143248,0.767123
563,2.035891,0.138858,0.771281
564,2.036732,0.134026,0.77588
565,2.038529,0.126623,0.781094
566,2.040864,0.119852,0.786845
567,2.043963,0.112939,0.792498
568,2.047352,0.107288,0.799345
569,2.050775,0.102772,0.804566
570,2.05384,0.099608,0.809658
571,2.056566,0.097424,0.814643
572,2.058961,0.095835,0.820683
573,2.061165,0.094577,0.825863
574,2.063161,0.09378,0.831222
575,2.064969,0.093388,0.836894
576,2.06659,0.093406,0.842945
577,2.068142,0.093775,0.847598
578,2.06973,0.094363,0.854105
579,2.071332,0.095156,0.860725
580,2.072923,0.09607,0.867373
581,2.074461,0.097055,0.874003
582,2.076016,0.098129,0.880815
583,2.077584,0.099421,0.887378
584,2.079187,0.100755,0.893797
585,2.080755,0.102135,0.899772
586,2.082274,0.103431,0.906202
587,2.083755,0.10453,0.912706
588,2.085218,0.105399,0.91927
589,2.08667,0.10614,0.925845
590,2.088137,0.106858,0.932399
591,2.089598,0.107656,0.938914
592,2.091096,0.108548,0.945347
593,2.092652,0.109585,0.951602
594,2.094255,0.110758,0.957671
595,2.095875,0.112089,0.963573
596,2.097472,0.113549,0.969364
597,2.099019,0.115121,0.975096
598,2.1005,0.116757,0.980794
599,2.101945,0.118416,0.986436
600,2.103369,0.120071,0.991996
601,2.104769,0.121688,0.997452
602,2.106133,0.123268,1.002775
603,2.107468,0.124816,1.007941
604,2.108777,0.126345,1.012927
605,2.110057,0.127822,1.017737
606,2.111317,0.129244,1.022372
607,2.112544,0.13066,1.026912
608,2.113767,0.132004,1.031211
609,2.114977,0.133328,1.035334
610,2.116184,0.134655,1.03928
611,2.117381,0.135991,1.043056
612,2.118556,0.137321,1.04667
613,2.119712,0.138652,1.050123
614,2.120844,0.139988,1.053416
615,2.121964,0.141334,1.056529
616,2.123074,0.142694,1.059453
617,2.1242,0.144072,1.062178
618,2.125339,0.14547,1.06471
619,2.126475,0.146902,1.067072
620,2.127591,0.148341,1.069263
621,2.12868,0.149777,1.071275
622,2.129746,0.151209,1.073109
623,2.130773,0.15264,1.074781
624,2.13177,0.154084,1.076301
625,2.132727,0.15553,1.077644
626,2.133649,0.156972,1.078786
627,2.134556,0.158398,1.079731
628,2.135452,0.159814,1.080499
629,2.136336,0.161217,1.081083
630,2.13721,0.162616,1.081484
631,2.138062,0.164011,1.081791
632,2.138921,0.165389,1.081862
633,2.139783,0.166753,1.081758
634,2.140643,0.168088,1.081484
635,2.141503,0.169391,1.08106
636,2.142363,0.17067,1.080487
637,2.143238,0.171928,1.07977
638,2.144127,0.173179,1.078914
639,2.145019,0.174414,1.077937
640,2.145919,0.175656,1.076859
641,2.146805,0.176901,1.075691
642,2.147685,0.178147,1.074452
643,2.148539,0.179374,1.073139
644,2.149345,0.180555,1.071733
645,2.150114,0.181721,1.070241
646,2.15088,0.182875,1.068654
647,2.151666,0.184032,1.066955
648,2.152463,0.185193,1.065122
649,2.153271,0.186311,1.063109
650,2.154114,0.187393,1.06091
651,2.154974,0.188451,1.058535
652,2.155863,0.189538,1.055999
653,2.156759,0.19062,1.053312
654,2.157682,0.191695,1.050466
655,2.158637,0.192762,1.047545
656,2.159636,0.193834,1.04445
657,2.160664,0.1949,1.041249
658,2.161708,0.195954,1.037951
659,2.162763,0.197026,1.034529
660,2.163818,0.198121,1.030952
661,2.164875,0.199209,1.027216
662,2.165933,0.200284,1.023342
663,2.166985,0.201345,1.019331
664,2.168045,0.202439,1.015183
665,2.169101,0.203577,1.010914
666,2.17011,0.204741,1.006551
667,2.171077,0.205906,1.0021
668,2.172011,0.20705,0.997556
669,2.172951,0.208168,0.992965
670,2.173887,0.209254,0.988333
671,2.174789,0.210302,0.98368
672,2.175679,0.211322,0.979001
673,2.176573,0.212334,0.974248
674,2.177468,0.2134,0.969386
675,2.178319,0.214503,0.964402
676,2.179159,0.215628,0.95932
677,2.180061,0.216762,0.954181
678,2.181045,0.217818,0.949015
679,2.181124,0.218323,0.94395
680,2.18211,0.219224,0.93876
681,2.18314,0.21993,0.869054
682,2.184218,0.220425,0.838574
683,2.185364,0.220725,0.828135
684,2.18658,0.220844,0.818017
685,2.187803,0.220816,0.800566
686,2.189028,0.220705,0.790232
687,2.190233,0.220534,0.780034
688,2.191394,0.220286,0.77002
689,2.192502,0.219939,0.761456
690,2.193617,0.219439,0.751635
691,2.194756,0.218792,0.741882
692,2.195928,0.218005,0.73215
693,2.1971,0.217053,0.729201
694,2.19827,0.215949,0.725019
695,2.199472,0.214675,0.720342
696,2.20075,0.213248,0.711495
697,2.201838,0.211811,0.702653
698,2.203125,0.210101,0.700299
699,2.204424,0.208252,0.697145
700,2.205707,0.206235,0.689057
701,2.207031,0.204158,0.686697
702,2.208372,0.201991,0.68386
703,2.209709,0.199711,0.680834
704,2.211006,0.197312,0.677699
705,2.212321,0.194813,0.675286
706,2.213649,0.192164,0.671956
707,2.21499,0.189347,0.668846
708,2.21634,0.186412,0.665551
709,2.217711,0.183339,0.662448
710,2.219088,0.180091,0.65945
711,2.220532,0.176682,0.656687
712,2.221992,0.173134,0.653896
713,2.223415,0.169432,0.651411
714,2.22484,0.165561,0.648814
715,2.226287,0.161492,0.646695
716,2.227786,0.157197,0.644707
717,2.229235,0.152694,0.642782
718,2.23059,0.147976,0.640966
719,2.231895,0.143022,0.639364
720,2.233193,0.13776,0.638009
721,2.234518,0.132173,0.636963
722,2.235886,0.126319,0.636236
723,2.237266,0.120258,0.635815
724,2.238626,0.11401,0.635767
725,2.240013,0.107569,0.636036
726,2.235835,0.110189,0.636254
727,2.237584,0.102677,0.636605
728,2.236981,0.098609,0.636948
729,2.237358,0.092384,0.637327
730,2.238211,0.085093,0.637916
731,2.237504,0.080977,0.638676
732,2.238282,0.07416,0.639627
733,2.238597,0.068024,0.640813
734,2.23881,0.061993,0.642158
735,2.238959,0.055966,0.64361
736,2.239082,0.049856,0.64521
737,2.239136,0.043528,0.646924
738,2.239077,0.036868,0.648745
739,2.238947,0.029858,0.650728
740,2.238648,0.022986,0.652905
741,2.238222,0.015976,0.655353
742,2.237616,0.009152,0.658038
743,2.236818,0.002992,0.660883
744,2.236001,-0.003209,0.663961
745,2.235145,-0.009454,0.667262
746,2.234153,-0.015299,0.670771
747,2.23302,-0.021166,0.674418
748,2.231924,-0.027597,0.678112
749,2.230818,-0.033821,0.681869
750,2.229699,-0.039758,0.685725
751,2.228656,-0.047173,0.689791
752,2.227616,-0.053844,0.693964
753,2.226592,-0.061735,0.698264
754,2.225649,-0.068688,0.70259
755,2.224709,-0.076969,0.706945
756,2.223793,-0.085837,0.711419
757,2.223005,-0.093995,0.716026
758,2.222084,-0.102877,0.720734
759,2.22085,-0.11335,0.725192
760,2.219469,-0.124479,0.730158
761,2.21795,-0.136136,0.73484
762,2.216303,-0.148272,0.739823
763,2.214572,-0.160783,0.744705
764,2.212772,-0.17367,0.749711
765,2.210905,-0.186861,0.754722
766,2.208919,-0.200358,0.759865
767,2.207423,-0.208701,0.765133
768,2.205147,-0.222062,0.770893
769,2.202771,-0.235866,0.776768
770,2.200326,-0.250005,0.781897
771,2.197813,-0.264414,0.787939
772,2.195231,-0.279163,0.793071
773,2.192618,-0.294217,0.799511
774,2.189945,-0.309572,0.806199
775,2.187151,-0.325253,0.81311
776,2.184314,-0.341185,0.818198
777,2.181469,-0.357326,0.825161
778,2.178579,-0.373706,0.830269
779,2.175701,-0.390283,0.837348
780,2.172794,-0.407059,0.844542
781,2.169862,-0.424021,0.851815
782,2.16692,-0.441192,0.856404
783,2.167549,-0.447047,0.861268
784,2.165309,-0.463634,0.868109
785,2.163013,-0.480576,0.875066
786,2.16065,-0.497841,0.879142
787,2.163473,-0.499543,0.883278
788,2.162281,-0.515205,0.889765
789,2.160881,-0.531264,0.89646
790,2.159206,-0.547685,0.899915
791,2.160684,-0.55429,0.906519
792,2.15967,-0.569229,0.913167
793,2.158367,-0.58473,0.919959
794,2.156816,-0.6006,0.921971
795,2.155084,-0.616692,0.928438
796,2.153172,-0.633017,0.934998
797,2.151151,-0.649517,0.941624
798,2.149083,-0.666142,0.948287
799,2.14698,-0.682861,0.954996
800,2.144932,-0.699655,0.961597
801,2.142933,-0.716517,0.968123
802,2.140968,-0.733437,0.974565
803,2.139032,-0.750406,0.980908
804,2.137114,-0.767449,0.987141
805,2.135228,-0.784572,0.993257
806,2.13336,-0.801756,0.999259
807,2.131506,-0.818987,1.005155
808,2.129675,-0.836264,1.010919
809,2.127832,-0.853572,1.016538
810,2.125963,-0.870882,1.022011
811,2.124055,-0.888196,1.027358
812,2.122121,-0.905497,1.032589
